date,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"06/16/2015, 12:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 12:15:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 12:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 12:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 1:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 1:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 1:30:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 1:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 2:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 2:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 2:30:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 2:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 3:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 3:15:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 3:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 3:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 4:00:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 4:15:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 4:30:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 4:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 5:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 5:15:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 5:30:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 5:45:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 6:00:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 6:15:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 6:30:00 AM -0400",0.0,0.0,0.0,0.0,0.0
"06/16/2015, 6:45:00 AM -0400",1.0,0.0,0.0,0.0,0.0
"06/16/2015, 7:00:00 AM -0400",22.0,0.4,0.4,18.0,0.0
"06/16/2015, 7:15:00 AM -0400",34.0,0.6,0.6,30.0,0.0
"06/16/2015, 7:30:00 AM -0400",34.0,0.6,0.6,30.0,0.0
"06/16/2015, 7:45:00 AM -0400",512.0,14.4,9.6,400.0,300.0
"06/16/2015, 8:00:00 AM -0400",21.0,0.4,0.4,0.0,0.0
"06/16/2015, 8:15:00 AM -0400",20.0,0.4,0.4,0.0,0.0
"06/16/2015, 8:30:00 AM -0400",21.0,0.4,0.4,0.0,0.0
"06/16/2015, 8:45:00 AM -0400",20.0,0.4,0.4,0.0,0.0
"06/16/2015, 9:00:00 AM -0400",21.0,0.4,0.4,0.0,0.0
"06/16/2015, 9:15:00 AM -0400",37.0,0.7,0.7,16.0,0.0
"06/16/2015, 9:30:00 AM -0400",86.0,1.6,1.6,72.0,0.0
"06/16/2015, 9:45:00 AM -0400",21.0,0.4,0.4,15.0,0.0
"06/16/2015, 10:00:00 AM -0400",20.0,0.4,0.4,15.0,0.0
"06/16/2015, 10:15:00 AM -0400",21.0,0.4,0.4,15.0,0.0
"06/16/2015, 10:30:00 AM -0400",20.0,0.4,0.4,15.0,0.0
"06/16/2015, 10:45:00 AM -0400",397.0,13.2,7.5,273.0,360.0
"06/16/2015, 11:00:00 AM -0400",981.0,32.0,22.5,943.0,600.0
"06/16/2015, 11:15:00 AM -0400",1364.0,40.9,26.7,1347.0,900.0
"06/16/2015, 11:30:00 AM -0400",762.0,25.7,14.3,742.0,720.0
"06/16/2015, 11:45:00 AM -0400",122.0,2.3,2.3,120.0,0.0
"06/16/2015, 12:00:00 PM -0400",67.0,1.3,1.3,58.0,0.0
"06/16/2015, 12:15:00 PM -0400",389.0,12.1,7.3,333.0,300.0
"06/16/2015, 12:30:00 PM -0400",97.0,1.8,1.8,79.0,0.0
"06/16/2015, 12:45:00 PM -0400",6.0,0.1,0.1,0.0,0.0
"06/16/2015, 1:00:00 PM -0400",7.0,0.1,0.1,0.0,0.0
"06/16/2015, 1:15:00 PM -0400",6.0,0.1,0.1,0.0,0.0
"06/16/2015, 1:30:00 PM -0400",7.0,0.1,0.1,0.0,0.0
"06/16/2015, 1:45:00 PM -0400",6.0,0.1,0.1,0.0,0.0
"06/16/2015, 2:00:00 PM -0400",6.0,0.1,0.1,0.0,0.0
"06/16/2015, 2:15:00 PM -0400",7.0,0.1,0.1,0.0,0.0
"06/16/2015, 2:30:00 PM -0400",35.0,0.7,0.7,20.0,0.0
"06/16/2015, 2:45:00 PM -0400",50.0,0.9,0.9,30.0,0.0
"06/16/2015, 3:00:00 PM -0400",49.0,0.9,0.9,30.0,0.0
"06/16/2015, 3:15:00 PM -0400",19.0,0.4,0.4,15.0,0.0
"06/16/2015, 3:30:00 PM -0400",14.0,0.3,0.3,15.0,0.0
"06/16/2015, 3:45:00 PM -0400",13.0,0.2,0.2,10.0,0.0
"06/16/2015, 4:00:00 PM -0400",19.0,0.4,0.4,6.0,0.0
"06/16/2015, 4:15:00 PM -0400",29.0,0.5,0.5,14.0,0.0
"06/16/2015, 4:30:00 PM -0400",6.0,0.1,0.1,0.0,0.0
"06/16/2015, 4:45:00 PM -0400",5.0,0.1,0.1,0.0,0.0
"06/16/2015, 5:00:00 PM -0400",6.0,0.1,0.1,0.0,0.0
"06/16/2015, 5:15:00 PM -0400",6.0,0.1,0.1,0.0,0.0
"06/16/2015, 5:30:00 PM -0400",33.0,0.6,0.6,15.0,0.0
"06/16/2015, 5:45:00 PM -0400",16.0,0.3,0.3,7.0,0.0
